,,Spend,Spend,Spend,Spend,Spend,Gross CPA,Gross CPA,Gross CPA,Gross CPA,Gross CPA,NET CPA,NET CPA,NET CPA,NET CPA,NET CPA
CATEGORY,SUB_CATEGORY,OCT25_CD_SPEND,NOV25_CD_SPEND,DEC25_CD_SPEND,JAN26_CD_SPEND,FEB26_CD_SPEND,OCT25_GrossCPA,NOV25_GrossCPA,DEC25_GrossCPA,JAN26_GrossCPA,FEB26_GrossCPA,OCT25_NET_CPA,NOV25_NET_CPA,DEC25_NET_CPA,JAN26_NET_CPA,FEB26_NET_CPA
Construction and Extraction Occupations,Sheet Metal Workers,1125,207,229,493,386,124.97,207.39,25.39,3.47,5.02,54.77,108.81,10.66,2.37,4.37
Construction and Extraction Occupations,Solar Photovoltaic Installers,7,158,234,358,123,,4.93,6.01,6.07,4.26,,3.28,2.84,3.81,3.34
Construction and Extraction Occupations,Structural Iron and Steel Workers,3,0,31,1,0,,,31.45,,,,,13.98,,
Construction and Extraction Occupations,Surface Mining Machine Operators and Earth Drillers,502,234,275,92,43,20.9,23.37,21.18,18.38,6.19,9.38,6.95,10.32,9.19,6.3
Construction and Extraction Occupations,Underground Mining Machine Operators,993,476,326,87,34,19.85,20.68,21.75,14.45,33.73,9.16,9.25,10.53,7.24,15.86
Educational Instruction and Library Occupations,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",36,0,1,1,2,18.17,,,,,9.09,,,,
Educational Instruction and Library Occupations,"Archivists, Curators, and Museum Technicians",3,2,6,149,10,,,5.74,49.61,,,,4.59,21.02,
Educational Instruction and Library Occupations,"Arts, Communications, History, and Humanities Teachers, Postsecondary",1,217,840,163,959,,15.49,5.25,40.81,43.6,,8.52,3.95,31.34,29.4
Educational Instruction and Library Occupations,"Business Teachers, Postsecondary",2182,4753,4253,2487,2526,17.04,18.14,19.87,19.58,15.99,14.45,12.74,12.78,7.59,5.71
Educational Instruction and Library Occupations,"Education and Library Science Teachers, Postsecondary",0,0,70,36,22,,,23.23,8.95,7.29,,,10.28,2.81,3.25
Educational Instruction and Library Occupations,Elementary and Middle School Teachers,107,1671,198,396,136,21.4,9.66,19.84,12.79,67.95,10.7,4.83,10.01,6.29,32.74
Educational Instruction and Library Occupations,"Engineering and Architecture Teachers, Postsecondary",931,1565,1051,519,436,42.32,60.19,26.95,39.9,54.5,30.09,31.32,17.02,18.11,28.37
Educational Instruction and Library Occupations,Farm and Home Management Educators,3,4,0,0,0,,,,,,,,,,
Educational Instruction and Library Occupations,"Health Teachers, Postsecondary",2013,3825,1661,1294,1630,41.09,73.56,35.35,34.98,52.57,26.25,33.13,19.6,5.81,16.56
Educational Instruction and Library Occupations,Instructional Coordinators,4906,1852,2823,821,1187,23.14,10.71,12.55,15.78,16.04,20.42,8.15,10.45,6.89,7.81
Educational Instruction and Library Occupations,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",0,0,0,1,0,,,,,,,,,,
Educational Instruction and Library Occupations,Librarians and Media Collections Specialists,3,1,2,137,14,0.17,0.14,0.36,68.59,13.63,0.13,0.14,0.19,25.76,3.75
Educational Instruction and Library Occupations,Library Technicians,0,0,0,0,243,,,,,10.54,,,,,2.79
